,Population ('000) (e),All Causes,Lower uncertainty bound (f),Upper uncertainty bound (f),"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,STDs excluding HIV,Syphilis,Chlamydia,Gonorrhoea,HIV/AIDS,Diarrhoeal diseases,Childhood-cluster diseases,Pertussis,Poliomyelitis,Diphtheria,Measles,Tetanus,Meningitis,Hepatitis B (g),Hepatitis C (g),Malaria,Tropical-cluster diseases,Trypanosomiasis,Chagas disease,Schistosomiasis,Leishmaniasis,lymphatic filariasis,Onchocerciasis,Leprosy,Dengue,Japanese encephalitis,Trachoma,Intestinal nematode infections,Ascariasis,Trichuriasis,Hookworm disease,Respiratory infections,Lower respiratory infections,Upper respiratory infections,Otitis media,Maternal conditions,Perinatal conditions (h),Prematurity and low birth weight,Birth asphyxia and birth trauma,Neonatal infections and other conditions (i),Nutritional deficiencies,Protein-energy malnutrition,Iodine deficiency,Vitamin A deficiency,Iron-deficiency anaemia,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Oesophagus cancer,Stomach cancer,Colon and rectum cancers,Liver cancer,Pancreas cancer,"Trachea, bronchus, lung cancers",Melanoma and other skin cancers,Breast cancer,Cervix uteri cancer,Corpus uteri cancer,Ovary cancer,Prostate cancer,Bladder cancer,"Lymphomas, multiple myeloma",Leukaemia,Other neoplasms,Diabetes mellitus,Endocrine disorders,Neuropsychiatric conditions,Unipolar depressive disorders,Bipolar disorder,Schizophrenia,Epilepsy,Alcohol use disorders,Alzheimer and other dementias,Parkinson disease,Multiple sclerosis,Drug use disorders,Post-traumatic stress disorder,Obsessive-compulsive disorder,Panic disorder,Insomnia (primary),Migraine,Sense organ diseases,Glaucoma,Cataracts,Refractive errors,"Hearing loss, adult onset",Macular degeneration and other (j),Cardiovascular diseases,Rheumatic heart disease,Hypertensive heart disease,Ischaemic heart disease,Cerebrovascular disease,Inflammatory heart diseases (k),Respiratory diseases,Chronic obstructive pulmonary disease,Asthma,Digestive diseases,Peptic ulcer disease,Cirrhosis of the liver,Appendicitis,Genitourinary diseases,Nephritis and nephrosis,Benign prostatic hypertrophy,Skin diseases,Musculoskeletal diseases,Rheumatoid arthritis,Osteoarthritis,Congenital anomalies,Oral conditions,Dental caries,Periodontal disease,Edentulism,Injuries,Unintentional injuries,Road traffic accidents,Poisonings,Falls,Fires,Drownings,Other unintentional injuries,Intentional injuries,Self-inflicted injuries,Violence,Nations,Countries,codes
171,6070.843,1652.1334228515625,1305.1228599812373,2286.4123959267845,747.7366333007812,505.9399719238281,111.39326477050781,3.601038694381714,1.406244158744812,0.0010261007118970156,0.009618127718567848,172.44264221191406,75.12218475341797,10.54073429107666,6.216824531555176,0.04385143145918846,0.12690062820911407,0.127436101436615,4.025722026824951,12.655794143676758,0.5832202434539795,0.2620263695716858,77.39495086669922,14.580923080444336,4.910159111022949,0.0,8.479496955871582,1.1565556526184082,0.0,0.022124778479337692,0.08685492724180222,0.0029308234807103872,0.0,0.0,0.010998821817338467,0.010998821817338467,0.0,0.0,140.92141723632812,139.53741455078125,1.1347111463546753,0.24929502606391907,21.43705177307129,69.383056640625,24.89439582824707,16.991947174072266,27.496713638305664,10.055129051208496,3.7365479469299316,0.012513881549239159,0.15646061301231384,5.410397052764893,818.3607177734375,142.80458068847656,5.070520877838135,2.0369532108306885,7.86579704284668,6.6444268226623535,18.62446403503418,3.1590380668640137,5.2472944259643555,1.7027180194854736,16.209745407104492,16.43700408935547,0.7125542759895325,3.135500192642212,25.912128448486328,4.828985214233398,9.062259674072266,2.5758862495422363,4.177063465118408,52.0510139465332,17.172061920166016,29.762449264526367,0.11264394968748093,0.012653619050979614,0.7183374166488647,9.247170448303223,0.7968119978904724,8.37977409362793,1.7794886827468872,0.140403613448143,0.24696576595306396,0.0,0.0,0.0,0.0,0.0,0.1970401257276535,0.0,0.0,0.0,0.0,0.1970401257276535,380.60577392578125,1.849534034729004,25.038101196289062,112.55213928222656,138.7292938232422,14.128682136535645,88.86283874511719,38.8668098449707,25.943801879882812,55.9124641418457,7.266298294067383,7.220912456512451,0.4089908301830292,27.87676429748535,24.039852142333984,0.7707951068878174,4.581656455993652,6.492300987243652,0.7721012234687805,0.748584508895874,7.529705047607422,0.33500561118125916,0.010687296278774738,0.03811492398381233,0.0,86.03616333007812,62.952640533447266,26.622713088989258,4.729180335998535,3.7746570110321045,4.907189846038818,4.171449661254883,18.747451782226562,23.083524703979492,6.369887828826904,16.71363639831543,0.0,Togo,TGO
172,98.992,860.0134887695312,826.7010815814145,894.2385858942373,174.37393188476562,115.34629821777344,4.1599507331848145,0.10027311742305756,0.0,0.0,0.0,0.22494719922542572,7.904652118682861,2.2827374935150146,0.08085505664348602,0.0,0.0,2.2018823623657227,0.0,4.023897647857666,0.18437710404396057,0.0828360989689827,0.8710119128227234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41206446290016174,0.0,0.0,0.1882241666316986,0.0,0.0,0.0,37.398834228515625,36.75853729248047,0.6402996182441711,0.0,1.1870921850204468,10.220804214477539,1.971027135848999,3.704742431640625,4.545034646987915,10.22091007232666,2.44579815864563,0.0,0.0,6.767634391784668,658.0517578125,83.08939361572266,2.0785956382751465,1.0696227550506592,5.984246253967285,3.025397539138794,9.435559272766113,1.621099591255188,10.389688491821289,1.6651312112808228,7.83765983581543,8.873512268066406,1.9184319972991943,4.850343704223633,4.877252578735352,0.5085551738739014,2.340029716491699,3.3732664585113525,1.6379956007003784,45.33808898925781,17.599855422973633,10.88962459564209,0.006611165590584278,0.027021514251828194,0.48771628737449646,1.7585598230361938,0.046416934579610825,3.156339645385742,0.827006995677948,0.138427272439003,0.21132062375545502,0.0011699283495545387,0.0,0.0,0.0,0.0,0.630470335483551,0.0,0.0,0.0,0.0,0.630470335483551,346.4542541503906,2.132781982421875,53.484046936035156,96.64454650878906,115.2883071899414,2.437283992767334,61.515193939208984,48.55686569213867,4.017288684844971,42.02079772949219,3.6290643215179443,5.291372299194336,0.47070327401161194,36.42820358276367,28.19695472717285,0.8059264421463013,4.346264362335205,3.458632469177246,0.4488212764263153,0.03559454530477524,4.462862014770508,0.18009963631629944,0.0,0.0,0.0,27.587799072265625,22.443838119506836,5.288154125213623,2.703763008117676,0.02262083813548088,3.8622453212738037,3.737372398376465,6.829683780670166,5.1439595222473145,4.527851581573486,0.6161080598831177,0.0,Tonga,TON
173,1319.143,941.1589965820312,908.6038788394192,974.8805584879559,129.65267944335938,74.42222595214844,2.6871871948242188,0.38657552003860474,0.049174319952726364,0.0,0.0,47.895328521728516,2.684978485107422,0.2083340883255005,0.0,0.0,0.0,0.0,0.2083340883255005,2.326768159866333,0.4126344919204712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13413004577159882,1.104958415031433,0.0,0.0,0.0,0.0,0.0,0.0,22.07001495361328,21.78202247619629,0.28799208998680115,0.0,1.098164439201355,24.856000900268555,10.38148307800293,7.693390369415283,6.781127452850342,7.206272602081299,2.09269380569458,0.0,0.0,4.653951644897461,751.4949951171875,122.54547119140625,3.517517328262329,2.29622220993042,6.8653364181518555,12.394679069519043,3.773812770843506,5.299054145812988,10.077152252197266,0.6979173421859741,13.936517715454102,11.479161262512207,2.848404884338379,3.7826507091522217,21.870943069458008,1.324088454246521,5.829742908477783,4.119484901428223,4.869796276092529,128.18568420410156,14.97635269165039,18.008291244506836,0.29470497369766235,0.0419221967458725,0.2017768770456314,5.257894039154053,0.8442832827568054,4.437763214111328,2.4003303050994873,0.20521193742752075,0.37198662757873535,0.0,0.0,0.0,0.0,0.0,0.07604826986789703,0.0,0.0,0.0,0.0,0.07604826986789703,363.9957275390625,1.2631772756576538,38.02850341796875,184.08473205566406,98.03460693359375,5.845509052276611,23.88241958618164,10.813011169433594,6.655512809753418,34.684104919433594,5.557967185974121,7.1479339599609375,0.34548822045326233,23.27351188659668,17.134624481201172,2.8070180416107178,4.95888614654541,5.1808085441589355,0.7070866227149963,0.7407531142234802,6.8578691482543945,0.0,0.0,0.0,0.0,60.0113525390625,32.056156158447266,16.19576072692871,0.26769015192985535,2.598762273788452,1.4139013290405273,4.429727077484131,7.1503119468688965,27.9552001953125,14.54716682434082,12.904436111450195,0.0,TrinidadandTobago,
174,9995.698,784.498779296875,741.153856839326,828.8522973865222,195.1278076171875,78.21009063720703,3.1201188564300537,7.286201477050781,2.581904172897339,0.5430858731269836,0.5373589396476746,1.434941291809082,10.987627029418945,0.0960860550403595,0.03638854995369911,0.0,0.014546114020049572,0.0058618090115487576,0.03928958252072334,5.5320539474487305,13.763304710388184,6.893036365509033,0.33449283242225647,0.15287134051322937,0.0,0.0,0.0,0.08165228366851807,0.0712190568447113,0.0,0.018126601353287697,2.4382516130572185e-05,0.0,0.0,0.05095631256699562,0.015666697174310684,0.0,0.004200980998575687,85.53165435791016,83.9583740234375,1.5551496744155884,0.01813271827995777,1.5750706195831299,19.735260009765625,8.503799438476562,5.4371795654296875,5.794281005859375,10.075726509094238,0.64617919921875,0.23402857780456543,0.09434330463409424,8.58991813659668,536.8452758789062,58.135894775390625,2.824852228164673,0.6573695540428162,3.4561831951141357,4.310861110687256,1.429141879081726,1.7235591411590576,12.722724914550781,0.3483010232448578,4.833069801330566,1.4215985536575317,0.322695255279541,0.8457597494125366,3.266108989715576,4.801028251647949,4.743839740753174,3.024533748626709,7.58000373840332,11.930875778198242,7.724288463592529,15.474295616149902,0.03509649634361267,0.007175429258495569,0.09724657982587814,0.6625988483428955,1.6160863637924194,1.9978272914886475,0.6413653492927551,0.21072150766849518,4.598613262176514,0.001467901631258428,0.0,0.0,0.0,0.0,0.6479548811912537,0.0,0.0,0.0,0.0,0.6479548811912537,331.9575500488281,2.353386640548706,37.62886047363281,164.15040588378906,62.264686584472656,13.660337448120117,34.77456283569336,20.80588150024414,1.0354458093643188,38.05756378173828,2.46893310546875,15.714558601379395,0.10282666981220245,22.611753463745117,17.362712860107422,1.1202441453933716,0.5839595794677734,0.798075795173645,0.2128363698720932,0.060432661324739456,6.55118989944458,0.01727929152548313,0.0,0.0,0.0,52.52573013305664,47.17866134643555,28.170969009399414,2.0186927318573,3.4531450271606445,3.2241344451904297,2.6666030883789062,7.645115852355957,5.347069263458252,3.1468141078948975,1.7326267957687378,0.0,Tunisia,TUN
175,72024.776,821.01513671875,775.1899577602084,862.8315504848089,81.56390380859375,28.30756187438965,6.994486331939697,0.16589802503585815,0.146381676197052,0.0,0.018468329682946205,0.15389280021190643,10.575101852416992,0.5987082123756409,0.09980875998735428,0.0,0.020115800201892853,0.38903743028640747,0.09229809790849686,3.5324954986572266,1.7128901481628418,0.0,0.0,0.05634022876620293,0.003937418572604656,0.0,0.007879638113081455,0.0,0.043209899216890335,0.0,0.018383814021945,0.0,0.0,0.0,0.04795345291495323,0.0,0.0,0.04284307733178139,26.338926315307617,25.48816680908203,0.8465577363967896,0.0,0.839164674282074,23.943593978881836,11.525284767150879,6.377254009246826,6.041055202484131,2.1264913082122803,0.13587960600852966,0.0,0.0,1.6960275173187256,700.88720703125,112.2242202758789,3.400083065032959,2.3631772994995117,11.49862003326416,8.8397855758667,2.438725709915161,3.079390287399292,33.236629486083984,0.6809331178665161,8.199862480163574,1.4158964157104492,0.9558083415031433,2.221501111984253,4.446676731109619,6.374998092651367,5.968486309051514,7.204690456390381,0.0397380068898201,19.678525924682617,0.4758063554763794,12.535030364990234,0.0,0.0,0.2129330039024353,1.4136019945144653,0.0,3.2772862911224365,0.0,0.8083996176719666,0.15934838354587555,0.0,0.0,0.0,0.0,0.0,0.05840946361422539,0.00511037465184927,0.0,0.0,0.0,0.05329908803105354,436.8009948730469,6.8505682945251465,23.6850643157959,199.15447998046875,142.189208984375,17.99555015563965,78.38453674316406,58.57794189453125,5.175856590270996,24.678442001342773,7.569948673248291,5.994399547576904,0.1468733251094818,12.877492904663086,9.163084983825684,1.6536422967910767,0.0946657732129097,0.2937922775745392,0.05390995740890503,0.0,2.725921154022217,0.0,0.0,0.0,0.0,38.573970794677734,32.14607620239258,12.11808967590332,0.5045267939567566,8.000944137573242,0.6368803381919861,0.7045708894729614,10.17569637298584,6.429047107696533,3.5633246898651123,2.863645553588867,0.0,Turkey,TUR
176,4766.006,1424.053955078125,1383.5017120641064,1471.5374385058408,253.11322021484375,85.70457458496094,13.57020092010498,1.0038915872573853,0.27386748790740967,0.0,0.0,1.0883866548538208,52.971553802490234,0.836653470993042,0.055318452417850494,0.580268383026123,0.03152051940560341,0.0366237610578537,0.13292232155799866,4.5609822273254395,2.76770281791687,1.4257863759994507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.95240783691406,94.02257537841797,1.929837703704834,0.0,2.7974040508270264,65.3182601928711,29.028541564941406,17.44123077392578,18.848487854003906,3.340569257736206,1.4555482864379883,0.0,0.0,1.8700904846191406,1099.824462890625,95.38444519042969,7.028515338897705,16.360563278198242,15.455915451049805,1.4019266366958618,3.343451976776123,3.15671706199646,12.982354164123535,1.5127105712890625,5.190434455871582,3.0021417140960693,1.0613573789596558,2.820068120956421,0.8205819725990295,3.396368980407715,3.7298202514648438,2.9115703105926514,1.309393048286438,19.19272804260254,1.5326247215270996,15.223618507385254,0.0,0.0,0.0,3.28326678276062,5.873261451721191,1.3675693273544312,0.3332120180130005,0.056180741637945175,0.4768492877483368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.404052734375,4.905661106109619,189.56484985351562,456.00054931640625,84.78001403808594,5.871814250946045,44.3553352355957,14.31046199798584,14.070199012756348,64.74917602539062,4.8625264167785645,44.108642578125,0.4707397222518921,13.306137084960938,8.344735145568848,0.7096831202507019,0.2698979675769806,0.44979408383369446,0.08087523281574249,0.02476239576935768,11.647245407104492,0.0,0.0,0.0,0.0,71.11629486083984,49.03733444213867,9.408333778381348,3.638997793197632,1.9353523254394531,7.862887382507324,10.08553409576416,16.10622787475586,22.078962326049805,12.216769218444824,9.862192153930664,0.0,Turkmenistan,TKM
